TokenId,Airdrop receiver,Owner,ProjectId,Is still in airdrop wallet
1888,0x89c44d4e90e998291600e8151cd3cce591b2e6b7,0x89c44d4e90e998291600e8151cd3cce591b2e6b7,0,TRUE
1889,0x89c5e4b972a492ef0cf1eccac30304edfff9fd57,0x89c5e4b972a492ef0cf1eccac30304edfff9fd57,12,TRUE
1890,0x89cadd147bbc38e6236f146b8fbc92cc95332def,0x46af710279f710280c96cad45ba21af8c1fdf600,0,FALSE
1891,0x89cadd147bbc38e6236f146b8fbc92cc95332def,0x46af710279f710280c96cad45ba21af8c1fdf600,0,FALSE
1892,0x89d42f152a826e28c69413ec5c98e6bccb7c7abf,0x89d42f152a826e28c69413ec5c98e6bccb7c7abf,9,TRUE
1893,0x89d6c62ba6a5923178c210090eb6c1553b3d78b3,0xa239e1ab06c7a64b1085904332150c326f92ccb2,11,FALSE
1894,0x89dcac9ea90440d79dd6596d75db9e13d21c47b1,0x89dcac9ea90440d79dd6596d75db9e13d21c47b1,10,TRUE
1895,0x89e623c226803399c1e6395a5d9f152a98349380,0x89e623c226803399c1e6395a5d9f152a98349380,0,TRUE
1896,0x89f450a027847b2ceef3af7c3c9a00113b2565cb,0x89f450a027847b2ceef3af7c3c9a00113b2565cb,2,TRUE
1897,0x8a2cc795646f64c06eb4ab060f03271f13c080d1,0x8a2cc795646f64c06eb4ab060f03271f13c080d1,0,TRUE
1898,0x8a2cc795646f64c06eb4ab060f03271f13c080d1,0x8a2cc795646f64c06eb4ab060f03271f13c080d1,0,TRUE
1899,0x8a2cc795646f64c06eb4ab060f03271f13c080d1,0x8a2cc795646f64c06eb4ab060f03271f13c080d1,0,TRUE
1900,0x8a2cc795646f64c06eb4ab060f03271f13c080d1,0x8a2cc795646f64c06eb4ab060f03271f13c080d1,0,TRUE
1901,0x8a2cc795646f64c06eb4ab060f03271f13c080d1,0x8a2cc795646f64c06eb4ab060f03271f13c080d1,0,TRUE
1902,0x8a55351418f7bfcc3b6e82ed121c7ff7727c6445,0x8a55351418f7bfcc3b6e82ed121c7ff7727c6445,18,TRUE
1903,0x8a7b5f83c023cf747724608d7b23ac40497e80f3,0x8a7b5f83c023cf747724608d7b23ac40497e80f3,2,TRUE
1904,0x8a97a1c3d09d9965f1a0aad6754d6deec10ec008,0x8a97a1c3d09d9965f1a0aad6754d6deec10ec008,2,TRUE
1905,0x8a97a1c3d09d9965f1a0aad6754d6deec10ec008,0x8a97a1c3d09d9965f1a0aad6754d6deec10ec008,2,TRUE
1906,0x8a97a1c3d09d9965f1a0aad6754d6deec10ec008,0x8a97a1c3d09d9965f1a0aad6754d6deec10ec008,2,TRUE
1907,0x8a97a1c3d09d9965f1a0aad6754d6deec10ec008,0x8a97a1c3d09d9965f1a0aad6754d6deec10ec008,2,TRUE
1908,0x8a9b7cc77ed3e734e008af0dc986a99f7caf3ab5,0x8a9b7cc77ed3e734e008af0dc986a99f7caf3ab5,9,TRUE
1909,0x8ac7967847365312e12918f7fb00071adaa4db8f,0x8ac7967847365312e12918f7fb00071adaa4db8f,8,TRUE
1910,0x8aed2e786f1265db189dd0e088ea636675a92b4a,0x8aed2e786f1265db189dd0e088ea636675a92b4a,10,TRUE
1911,0x8b2f579c4670f4e2feae28efa920afa4eb32d76a,0x8b2f579c4670f4e2feae28efa920afa4eb32d76a,18,TRUE
1912,0x8b2f579c4670f4e2feae28efa920afa4eb32d76a,0x8b2f579c4670f4e2feae28efa920afa4eb32d76a,8,TRUE
1913,0x8b5f3c9d2df9e0d3c991d543325b342d1320e927,0x8b5f3c9d2df9e0d3c991d543325b342d1320e927,0,TRUE
1914,0x8b7ad96a7b57580b424f9845ea949995b01a08a9,0x8b7ad96a7b57580b424f9845ea949995b01a08a9,0,TRUE
1915,0x8be6f5ae314eda7c9c50afe08a39b7c697c26fa9,0x8be6f5ae314eda7c9c50afe08a39b7c697c26fa9,8,TRUE
1916,0x8bf7aca815e43447fa0c26c15b9866ea508199f6,0x8bf7aca815e43447fa0c26c15b9866ea508199f6,0,TRUE
1917,0x8c056375f7f529692af8b9e100fa354a864a1710,0x8c056375f7f529692af8b9e100fa354a864a1710,7,TRUE
1918,0x8c2d68d950d353a513ad78e328336d7941016a5a,0x8c2d68d950d353a513ad78e328336d7941016a5a,2,TRUE
1919,0x8c48b40dba656187896147089545439e4ff4a01c,0x8c48b40dba656187896147089545439e4ff4a01c,8,TRUE
1920,0x8c6f83378e27fd2a4b755af1375fb17314e96e98,0x8c6f83378e27fd2a4b755af1375fb17314e96e98,18,TRUE
1921,0x8c77fc46bac2649b55788c2f1657cabc32ce7aaf,0x8c77fc46bac2649b55788c2f1657cabc32ce7aaf,14,TRUE
